,City,Cloudiness,Country,Date,Humidity,Latitude,Longitude,Max Temp,Wind Speed
0,Busselton,100,AU,1603804086,67,-33.65,115.33,18.33,4.28
1,Narón,20,ES,1603803573,82,43.52,-8.15,17.0,11.8
2,Nakhon Phanom,40,TH,1603803574,94,17.33,104.42,26.0,0.5
3,Saint-Philippe,75,RE,1603803574,61,-21.36,55.77,27.0,4.1
4,Butaritari,100,KI,1603803574,68,3.07,172.79,27.28,3.72
5,Delta del Tigre,40,UY,1603803575,63,-34.76,-56.39,17.78,4.1
6,Am Timan,0,TD,1603803575,20,11.03,20.28,36.81,1.84
7,Quatre Cocos,40,MU,1603803861,61,-20.21,57.76,26.0,4.1
8,Rikitea,100,PF,1603803575,84,-23.12,-134.97,23.9,8.89
9,Pisco,0,PE,1603803567,87,-13.7,-76.22,17.78,4.1
10,Nizhniy Tsasuchey,0,RU,1603803576,83,50.52,115.13,-4.45,3.58
11,Kenai,1,US,1603803576,92,60.55,-151.26,0.0,1.5
12,Barrow,90,US,1603803862,79,71.29,-156.79,-7.0,4.6
13,Chui,100,UY,1603803862,78,-33.7,-53.46,16.51,7.53
14,Qaanaaq,79,GL,1603804090,79,77.48,-69.36,-13.25,4.86
15,São José da Coroa Grande,60,BR,1603803570,67,-8.9,-35.15,27.96,6.4
16,Richards Bay,9,ZA,1603803577,54,-28.78,32.04,29.06,6.65
17,Onda,34,ES,1603803577,44,39.97,-0.25,18.89,0.89
18,Pevek,100,RU,1603804091,95,69.7,170.31,-7.09,7.49
19,Holetown,40,BB,1603803578,78,13.19,-59.64,28.0,7.7
20,Albany,40,US,1603803792,74,42.6,-73.97,8.33,0.45
21,Ivdel',100,RU,1603803578,96,60.69,60.42,-6.15,1.12
22,Ushuaia,75,AR,1603803864,77,-54.8,-68.3,5.0,10.3
23,George Town,20,MY,1603803864,79,5.41,100.34,29.0,3.6
24,Cap Malheureux,10,MU,1603803558,64,-19.98,57.61,25.56,2.24
25,Katsuura,20,JP,1603803977,72,35.13,140.3,17.0,4.1
26,Coquimbo,90,CL,1603803865,81,-29.95,-71.34,12.0,3.6
